Index,Content
1-1,"Lovens formål er: a. å sikre et arbeidsmiljø som gir grunnlag for en helsefremmende og meningsfylt arbeidssituasjon, som gir full trygghet mot fysiske og psykiske skadevirkninger, og med en velferdsmessig standard som til enhver tid er i samsvar med den teknologiske og sosiale utvikling i samfunnet, b. å sikre trygge ansettelsesforhold og likebehandling i arbeidslivet, c. å legge til rette for et godt ytringsklima i virksomheten, d. å legge til rette for tilpasninger i arbeidsforholdet knyttet til den enkelte arbeidstakers forutsetninger og livssituasjon, e. å gi grunnlag for at arbeidsgiver og arbeidstakerne i virksomhetene selv kan ivareta og utvikle sitt arbeidsmiljø i samarbeid med arbeidslivets parter og med nødvendig veiledning og kontroll fra offentlig myndighet, f. å bidra til et inkluderende arbeidsliv. Endret ved lover 21 des 2005 nr. 121 (ikr. 1 jan 2006), 21 juni 2019 nr. 24 (ikr. 1 jan 2020 iflg. res. 21 juni 2019 nr. 806). "
1-2,"(1) Loven gjelder for virksomhet som sysselsetter arbeidstaker, med mindre annet er uttrykkelig fastsatt i loven. (2) Unntatt fra loven er: a. sjøfart, fangst og fiske, herunder bearbeiding av fangsten ombord i skip, men likevel slik at dykkeoperasjoner og losing er omfattet av loven b. militær luftfart som omfattes av luftfartsloven. Departementet kan gi forskrift om unntak fra loven for sivil luftfart og annen statsluftfart enn militær luftfart og om særregler for slik luftfart. (3) Kongen kan gi forskrift om og i hvilken utstrekning bestemmelsene i kapittel 14, 15, 16 og 17 skal gjelde for arbeidstakere som omfattes av lov 16. juni 2017 nr. 67 om statens ansatte mv. (statsansatteloven) eller som er embetsmenn. (4) Kongen kan gi forskrift om at deler av den offentlige forvaltning, helt eller delvis skal unntas fra loven når virksomheten er av så særegen art at den vanskelig lar seg tilpasse lovens bestemmelser. Endret ved lover 21 des 2005 nr. 121 (ikr. 1 jan 2006), 22 juni 2018 nr. 45 (ikr. 1 jan 2019 iflg. res. 22 juni 2018 nr. 945), 7 mai 2021 nr. 29 (i kraft 1 juli 2022 for så vidt gjelder losing iflg. res. 17 juni 2022 nr. 1064). "
1-3,"(1) Loven gjelder for virksomhet i forbindelse med undersøkelse etter og utnyttelse av naturforekomster på havbunnen eller i dens undergrunn, i indre norske farvann, norsk sjøterritorium og den norske del av kontinentalsokkelen. (2) Loven gjelder for virksomhet som nevnt i første ledd i området utenfor den norske del av kontinentalsokkelen dersom dette følger av særskilt avtale med fremmed stat eller av folkeretten for øvrig. (3) Departementet kan ved forskrift helt eller delvis unnta virksomhet som nevnt i første og andre ledd fra loven. Departementet kan også gi forskrift om at loven helt eller delvis skal gjelde for virksomhet som nevnt i første ledd i områder utenfor den norske del av kontinentalsokkelen dersom det foretas undersøkelse eller utnyttelse av naturforekomster på havbunnen eller i dens undergrunn fra innretning registrert i norsk skipsregister eller det gjennomføres bemannede undervannsoperasjoner fra innretning eller fartøy registrert i norsk skipsregister. Departementet kan ved forskrift også fastsette at loven skal gjelde ved forflytning av innretning eller fartøy som nevnt. (4) I forskrift etter denne paragraf kan det også fastsettes særregler. "
1-4,(1) Departementet kan gi forskrift om at lovens regler helt eller delvis skal gjelde for virksomhet som ikke sysselsetter arbeidstaker. (2) Departementet kan gi forskrift om at virksomhet i landbruket som ikke nytter annen hjelp enn avløserhjelp skal unntas fra loven. (3) Departementet kan gi forskrift om at lovens regler helt eller delvis skal gjelde for byggherre eller dennes representant. (4) I forskrift etter denne paragraf kan det fastsettes særregler. 
1-5,(1) Departementet kan gi forskrift om og i hvilken utstrekning loven skal gjelde for arbeid som utføres i arbeidstakers hjem. (2) Departementet kan gi forskrift om at lovens regler helt eller delvis skal gjelde for arbeidstaker som utfører arbeid i arbeidsgivers hjem eller husholdning. (3) I forskrift etter denne paragraf kan det fastsettes særregler. Endret ved lov 18 juni 2021 nr. 93 (ikr. 1 juli 2021 iflg. res. 18 juni 2021 nr. 1973). 
1-6,"(1) Følgende personer anses som arbeidstakere etter lovens regler om varsling og helse, miljø og sikkerhet når de utfører arbeid i virksomhet som går inn under loven: a. elever ved institusjoner som har undervisning eller forskning som formål, b. vernepliktige, c. sivile tjenestepliktige og tjenestepliktige i sivilforsvaret, d. innsatte i kriminalomsorgens anstalter, e. pasienter i helseinstitusjoner, attføringsinstitusjoner o.l., f. personer som i opplæringsøyemed eller i forbindelse med arbeidsrettede tiltak utplasseres i virksomheter uten å være arbeidstakere, g. personer som uten å være arbeidstakere deltar i arbeidsmarkedstiltak. Lovens regler om varsling gjelder likevel ikke for personer som nevnt i bokstav d. Departementet kan i forskrift fastsette unntak fra bestemmelsen i første punktum.  (2) Lovens bestemmelser om arbeidsgiveren gjelder for den som lar personer som nevnt i første ledd utføre arbeid i sin virksomhet. (3) Departementet kan gi forskrift om i hvilken utstrekning lovens øvrige bestemmelser skal gjelde for personer nevnt i første ledd. Endret ved lover 19 juni 2009 nr. 83 (ikr. 26 juni 2009 iflg. res. 26 juni 2009 nr. 878), 19 des 2008 nr. 106 (ikr. 1 mars 2010 iflg. res. 19 feb 2010 nr. 189), 21 juni 2019 nr. 24 (ikr. 1 jan 2020 iflg. res. 21 juni 2019 nr. 806). "
1-7,"(1) Med utsendt arbeidstaker menes arbeidstaker som i et begrenset tidsrom arbeider i et annet land enn det arbeidsforholdet vanligvis er knyttet til. (2) Utsending av arbeidstaker anses å foreligge når en utenlandsk virksomhet i forbindelse med tjenesteyting: a. etter avtale med en mottaker av tjenesteytelser i Norge, sender en arbeidstaker til Norge for egen regning og risiko og under egen ledelse, eller b. sender en arbeidstaker til et forretningssted eller virksomhet i Norge som inngår i konsernet, eller c. i egenskap av å være vikarbyrå eller annen virksomhet som stiller arbeidstakere til rådighet, sender arbeidstakere til en virksomhet i Norge. (3) Utsending av arbeidstaker anses også å foreligge når en norsk virksomhet i forbindelse med tjenesteyting sender en arbeidstaker til et annet land innenfor EØS-området. (4) Departementet kan i forskrift gi regler om hvilke lønns- og arbeidsvilkår i lov eller i medhold av lov som skal gjelde for utsendte arbeidstakere, og nødvendige bestemmelser for å sikre etterlevelse av reglene, herunder bestemmelser om samarbeid med ansvarlige myndigheter i andre EØS-stater, vern og erstatning ved gjengjeldelse fra arbeidsgiver, kriterier for å avgjøre om utsendingen er reell, vederlag for innkvartering og krav til dokumentasjon. (5) I forbindelse med gjensidig samarbeid mellom EØS-stater i samsvar med forskrift gitt med hjemmel i arbeidsmiljøloven § 1-7 fjerde ledd og § 18-11 femte ledd, kan opplysninger gis til ansvarlige myndigheter i en annen EØS-stat uten hinder av lovbestemt taushetsplikt. Endret ved lov 31 mars 2017 nr. 12 (ikr. 1 juli 2017 iflg. res. 31 mars 2017 nr. 424). "
1-8,"(1) Med arbeidstaker menes i denne lov enhver som utfører arbeid i annens tjeneste. (2) Med arbeidsgiver menes i denne lov enhver som har ansatt arbeidstaker for å utføre arbeid i sin tjeneste. Det som i denne lov er bestemt om arbeidsgiver, skal gjelde tilsvarende for den som i arbeidsgivers sted leder virksomheten. Endres ved lov 17 mars 2023 nr. 3 (i kraft 1 jan 2024 iflg. res. 17 mars 2023 nr. 341). "
1-9,Loven kan ikke fravikes ved avtale til ugunst for arbeidstaker med mindre det er særskilt fastsatt. 
2-1,Arbeidsgiver skal sørge for at bestemmelsene gitt i og i medhold av denne lov blir overholdt. 
